vote,TRIAL: ,CONDENSED KNN,K Value: ,0,94.87179487179486,94.87179487179486
vote,TRIAL: ,KNN,K Value: ,0,100.0,100.0
vote,TRIAL: ,EDITED KNN,K Value: ,0,100.0,100.0
vote,TRIAL: ,CONDENSED KNN,K Value: ,0,92.3076923076923,92.10658622423328
vote,TRIAL: ,KNN,K Value: ,0,92.3076923076923,92.34992872604403
vote,TRIAL: ,EDITED KNN,K Value: ,0,89.74358974358975,89.84113712374582
vote,TRIAL: ,CONDENSED KNN,K Value: ,0,71.7948717948718,67.97763639868903
vote,TRIAL: ,KNN,K Value: ,0,97.43589743589743,97.44997624201469
vote,TRIAL: ,EDITED KNN,K Value: ,0,89.74358974358975,89.84113712374582
vote,TRIAL: ,CONDENSED KNN,K Value: ,0,74.35897435897436,72.57834757834758
vote,TRIAL: ,KNN,K Value: ,0,89.47368421052632,89.5633971291866
vote,TRIAL: ,EDITED KNN,K Value: ,0,89.47368421052632,89.5633971291866
vote,TRIAL: ,CONDENSED KNN,K Value: ,0,84.21052631578947,83.62753036437248
vote,TRIAL: ,KNN,K Value: ,0,84.61538461538461,84.76170568561872
vote,TRIAL: ,EDITED KNN,K Value: ,0,79.48717948717949,79.76141505553271
vote,TRIAL: ,CONDENSED KNN,K Value: ,0,69.23076923076923,64.19098143236074
vote,TRIAL: ,KNN,K Value: ,0,90.0,90.1010101010101
vote,TRIAL: ,EDITED KNN,K Value: ,0,90.0,90.1010101010101
vote,TRIAL: ,CONDENSED KNN,K Value: ,0,87.5,87.61904761904763
vote,TRIAL: ,KNN,K Value: ,0,92.5,92.53384912959379
vote,TRIAL: ,EDITED KNN,K Value: ,0,90.0,90.07672634271098
vote,TRIAL: ,CONDENSED KNN,K Value: ,0,90.0,90.0
vote,TRIAL: ,KNN,K Value: ,0,92.3076923076923,92.25355924863314
vote,TRIAL: ,EDITED KNN,K Value: ,0,87.17948717948718,87.2498812100734
vote,TRIAL: ,CONDENSED KNN,K Value: ,0,82.05128205128204,81.10304789550072
vote,TRIAL: ,KNN,K Value: ,0,97.36842105263158,97.38162610828145
vote,TRIAL: ,EDITED KNN,K Value: ,0,97.36842105263158,97.38162610828145
vote,TRIAL: ,CONDENSED KNN,K Value: ,0,71.05263157894737,65.46629732225301
vote,TRIAL: ,KNN,K Value: ,0,95.0,95.0
vote,TRIAL: ,EDITED KNN,K Value: ,0,90.0,90.07672634271098
vote,TRIAL: ,CONDENSED KNN,K Value: ,0,77.5,74.87414187643022
vote,TRIAL: ,KNN,K Value: ,0,94.87179487179486,94.92056856187293
vote,TRIAL: ,EDITED KNN,K Value: ,0,92.3076923076923,92.40093240093239
vote,TRIAL: ,CONDENSED KNN,K Value: ,0,89.74358974358975,89.88070752776633
vote,TRIAL: ,KNN,K Value: ,0,95.0,95.03836317135551
vote,TRIAL: ,EDITED KNN,K Value: ,0,87.5,87.6178504085481
vote,TRIAL: ,CONDENSED KNN,K Value: ,0,92.5,92.45556287030942
vote,TRIAL: ,KNN,K Value: ,0,94.87179487179486,94.90607431783903
vote,TRIAL: ,EDITED KNN,K Value: ,0,89.74358974358975,89.82498982498981
vote,TRIAL: ,CONDENSED KNN,K Value: ,0,84.61538461538461,83.72781065088756
vote,TRIAL: ,KNN,K Value: ,0,95.0,95.0
vote,TRIAL: ,EDITED KNN,K Value: ,0,85.0,85.230179028133
vote,TRIAL: ,CONDENSED KNN,K Value: ,0,87.5,87.57406188281765
vote,TRIAL: ,KNN,K Value: ,0,95.0,95.03836317135551
vote,TRIAL: ,EDITED KNN,K Value: ,0,92.5,92.57142857142856
vote,TRIAL: ,CONDENSED KNN,K Value: ,0,92.5,92.57142857142856
vote,TRIAL: ,KNN,K Value: ,0,97.43589743589743,97.44997624201469
vote,TRIAL: ,EDITED KNN,K Value: ,0,92.3076923076923,92.40093240093239
vote,TRIAL: ,CONDENSED KNN,K Value: ,0,89.74358974358975,89.34911242603548
vote,TRIAL: ,KNN,K Value: ,0,92.3076923076923,92.34992872604403
vote,TRIAL: ,EDITED KNN,K Value: ,0,87.17948717948718,87.33488733488734
vote,TRIAL: ,CONDENSED KNN,K Value: ,0,89.74358974358975,89.84113712374582
